,NatGasFut1
02-03-2015,2.698
03-03-2015,2.712
04-03-2015,2.769
05-03-2015,2.841
06-03-2015,2.839
09-03-2015,2.678
10-03-2015,2.732
11-03-2015,2.824
12-03-2015,2.734
13-03-2015,2.727
16-03-2015,2.716
17-03-2015,2.855
18-03-2015,2.92
19-03-2015,2.813
20-03-2015,2.786
23-03-2015,2.733
24-03-2015,2.786
25-03-2015,2.723
26-03-2015,2.672
27-03-2015,2.59
30-03-2015,2.644
31-03-2015,2.64
01-04-2015,2.605
02-04-2015,2.713
06-04-2015,2.65
07-04-2015,2.68
08-04-2015,2.619
09-04-2015,2.528
10-04-2015,2.511
13-04-2015,2.511
14-04-2015,2.53
15-04-2015,2.61
16-04-2015,2.684
17-04-2015,2.634
20-04-2015,2.536
21-04-2015,2.575
22-04-2015,2.606
23-04-2015,2.531
24-04-2015,2.531
27-04-2015,2.49
28-04-2015,2.517
29-04-2015,2.606
30-04-2015,2.751
01-05-2015,2.776
04-05-2015,2.821
05-05-2015,2.78
06-05-2015,2.776
07-05-2015,2.734
08-05-2015,2.88
11-05-2015,2.802
12-05-2015,2.897
13-05-2015,2.935
14-05-2015,3.008
15-05-2015,3.016
18-05-2015,3.01
19-05-2015,2.948
20-05-2015,2.915
21-05-2015,2.949
22-05-2015,2.887
26-05-2015,2.822
27-05-2015,2.815
28-05-2015,2.706
29-05-2015,2.642
01-06-2015,2.649
02-06-2015,2.698
03-06-2015,2.634
04-06-2015,2.626
05-06-2015,2.59
08-06-2015,2.705
09-06-2015,2.846
10-06-2015,2.891
11-06-2015,2.825
12-06-2015,2.75
15-06-2015,2.889
16-06-2015,2.894
17-06-2015,2.855
18-06-2015,2.777
19-06-2015,2.816
22-06-2015,2.733
23-06-2015,2.726
24-06-2015,2.759
25-06-2015,2.85
26-06-2015,2.773
29-06-2015,2.805
30-06-2015,2.832
01-07-2015,2.783
02-07-2015,2.822
06-07-2015,2.756
07-07-2015,2.716
08-07-2015,2.685
09-07-2015,2.726
10-07-2015,2.77
14-07-2015,2.84
15-07-2015,2.918
16-07-2015,2.854
17-07-2015,2.87
20-07-2015,2.823
21-07-2015,2.882
22-07-2015,2.897
23-07-2015,2.816
24-07-2015,2.776
27-07-2015,2.789
28-07-2015,2.821
29-07-2015,2.886
30-07-2015,2.768
31-07-2015,2.716
03-08-2015,2.748
04-08-2015,2.812
05-08-2015,2.798
06-08-2015,2.813
07-08-2015,2.798
10-08-2015,2.842
11-08-2015,2.844
12-08-2015,2.931
13-08-2015,2.787
14-08-2015,2.801
17-08-2015,2.728
18-08-2015,2.704
19-08-2015,2.716
20-08-2015,2.755
21-08-2015,2.676
24-08-2015,2.65
25-08-2015,2.685
26-08-2015,2.693
27-08-2015,2.638
28-08-2015,2.715
31-08-2015,2.689
01-09-2015,2.702
02-09-2015,2.648
03-09-2015,2.725
04-09-2015,2.655
08-09-2015,2.71
09-09-2015,2.651
10-09-2015,2.683
11-09-2015,2.693
14-09-2015,2.758
15-09-2015,2.728
16-09-2015,2.66
17-09-2015,2.652
18-09-2015,2.605
21-09-2015,2.573
22-09-2015,2.577
23-09-2015,2.569
24-09-2015,2.591
25-09-2015,2.564
28-09-2015,2.563
29-09-2015,2.586
30-09-2015,2.524
01-10-2015,2.433
02-10-2015,2.451
05-10-2015,2.45
06-10-2015,2.47
07-10-2015,2.474
08-10-2015,2.498
09-10-2015,2.502
13-10-2015,2.498
14-10-2015,2.518
15-10-2015,2.453
16-10-2015,2.43
19-10-2015,2.442
20-10-2015,2.476
21-10-2015,2.404
22-10-2015,2.386
23-10-2015,2.286
26-10-2015,2.062
27-10-2015,2.092
28-10-2015,2.033
29-10-2015,2.257
30-10-2015,2.321
02-11-2015,2.256
03-11-2015,2.253
04-11-2015,2.262
05-11-2015,2.364
06-11-2015,2.371
09-11-2015,2.3
10-11-2015,2.32
12-11-2015,2.26
13-11-2015,2.361
16-11-2015,2.385
17-11-2015,2.371
18-11-2015,2.347
19-11-2015,2.276
20-11-2015,2.145
