,NP15,SP15,PVP,PG&E,SCCG,SCEB,HenryHub,NatGasFut1
31-03-2016,0,20.61,26.65,1.95,1.98,1.81,1.98,1.959
01-04-2016,0,0,28.17,1.95,1.98,1.8,1.88,1.956
02-04-2016,21.53,18.87,0,0,0,0,3.13,3.13
03-04-2016,0,0,0,0,0,0,3.13,3.13
04-04-2016,21.5,19.5,33.14,1.85,1.84,1.68,1.96,1.998
05-04-2016,0,23,0,1.93,1.95,1.77,1.96,1.954
06-04-2016,25.64,23.3,0,1.93,1.97,1.8,1.91,1.911
07-04-2016,25.92,19.93,0,1.91,1.95,1.77,1.96,2.018
08-04-2016,0,0,0,1.93,1.97,1.81,1.99,1.99
09-04-2016,23.28,19.03,0,0,0,0,3.13,3.13
10-04-2016,0,0,0,0,0,0,3.13,3.13
11-04-2016,0,20.03,0,1.93,1.97,1.81,1.9,1.912
12-04-2016,24.42,18.29,0,1.89,1.94,1.77,1.97,2.004
13-04-2016,0,15.98,0,1.94,1.99,1.79,2.01,2.036
14-04-2016,0,15.39,0,1.97,1.97,1.83,1.93,1.97
15-04-2016,0,0,0,1.93,1.94,1.78,1.71,1.902
16-04-2016,0,15.13,0,0,0,0,3.13,3.13
17-04-2016,0,0,0,0,0,0,3.13,3.13
18-04-2016,27.17,24.67,0,1.84,1.82,1.66,1.76,1.94
19-04-2016,0,24.84,0,1.91,1.87,1.69,1.94,2.088
20-04-2016,0,23.17,0,2.01,1.98,1.83,1.94,2.069
21-04-2016,0,23.59,0,2.09,2.11,1.95,1.96,2.068
22-04-2016,0,0,0,2.03,2,1.84,1.92,2.14
23-04-2016,21.3,16.66,0,0,0,0,3.13,3.13
24-04-2016,0,0,0,0,0,0,3.13,3.13
25-04-2016,21.5,18.11,0,2.02,1.88,1.76,1.97,2.063
26-04-2016,0,16.8,0,2.09,2.07,1.91,1.97,2.032
27-04-2016,21.5,16.74,0,2.06,1.93,1.77,1.88,1.995
28-04-2016,0,14.64,0,2.03,1.98,1.81,1.88,2.078
29-04-2016,0,0,0,0,0,0,1.89,2.178
30-04-2016,0,14.35,0,1.98,1.97,1.8,3.13,3.13
01-05-2016,0,0,0,0,0,0,3.13,3.13
02-05-2016,0,23.68,0,1.98,1.9,1.82,1.91,2.042
03-05-2016,0,26.86,0,2.02,2.04,1.86,1.94,2.086
04-05-2016,25.06,25.21,0,2.05,2.11,1.96,2.03,2.141
05-05-2016,0,24.4,0,2.13,2.16,2,2.05,2.076
06-05-2016,0,0,0,2.11,2.16,1.99,1.86,2.101
07-05-2016,0,22.38,0,0,0,0,3.13,3.13
08-05-2016,0,0,0,0,0,0,3.13,3.13
09-05-2016,0,24.96,0,1.96,1.86,1.75,2.01,2.098
10-05-2016,0,25.4,0,2.12,2.13,1.97,2.01,2.158
11-05-2016,27.08,27.94,0,2.17,2.17,1.99,2.01,2.173
12-05-2016,0,29.22,0,2.12,2.14,1.98,2.01,2.155
13-05-2016,0,0,0,2.13,2.15,1.98,1.96,2.096
14-05-2016,0,22.5,0,0,0,0,3.13,3.13
15-05-2016,0,0,0,0,0,0,3.13,3.13
16-05-2016,0,23.5,0,1.94,1.86,1.8,1.91,2.029
17-05-2016,24.25,23.92,0,1.98,2.03,1.85,1.97,2.048
18-05-2016,26,26.25,0,1.97,2.03,1.85,1.91,2.001
19-05-2016,0,21.88,0,1.94,1.98,1.8,1.83,2.039
20-05-2016,0,0,0,1.83,1.87,1.71,1.81,2.062
21-05-2016,0,17.5,0,0,0,0,3.13,3.13
22-05-2016,0,0,0,0,0,0,3.13,3.13
23-05-2016,0,20.6,0,1.78,1.77,1.6,1.96,2.055
24-05-2016,0,19.99,0,1.99,2.04,1.85,1.91,1.98
25-05-2016,0,20.43,0,1.94,1.99,1.81,1.77,1.992
26-05-2016,0,0,0,1.82,1.85,1.68,1.77,1.963
27-05-2016,0,20.01,0,1.74,1.81,1.64,1.77,2.169
28-05-2016,18.06,15.79,0,0,0,0,3.13,3.13
29-05-2016,0,0,0,0,0,0,3.13,3.13
30-05-2016,0,0,0,0,0,0,1.77,3.13
31-05-2016,0,26.99,0,1.77,1.86,1.71,2.12,2.288
01-06-2016,29.48,28.32,0,2.28,2.28,2.1,2.25,2.381
02-06-2016,30.33,30.3,0,2.4,2.41,2.25,2.3,3.13
03-06-2016,0,0,0,2.42,2.45,2.28,2.31,2.398
04-06-2016,31.56,31.51,0,0,0,0,3.13,3.13
05-06-2016,0,0,0,0,0,0,3.13,3.13
06-06-2016,31.03,31.64,0,2.36,2.37,2.2,2.32,2.466
07-06-2016,28.33,27.91,0,2.37,2.39,2.21,2.32,2.474
08-06-2016,0,26.8,0,2.35,2.36,2.19,2.36,2.468
09-06-2016,0,27.63,0,2.37,2.4,2.22,2.34,2.617
10-06-2016,0,0,0,2.34,2.38,2.2,2.46,2.556
11-06-2016,0,24.71,0,0,0,0,3.13,3.13
12-06-2016,0,0,0,0,0,0,3.13,3.13
13-06-2016,0,26.57,0,2.36,2.32,2.18,2.55,2.585
14-06-2016,0,25.88,0,2.45,2.49,2.31,2.55,2.604
15-06-2016,25,25,0,2.45,2.46,2.3,2.62,2.595
16-06-2016,27.17,26.88,0,2.52,2.53,2.38,2.62,2.58
17-06-2016,0,0,0,2.55,2.59,2.4,2.59,2.623
18-06-2016,27.9,27.8,0,0,0,0,3.13,3.13
19-06-2016,0,0,0,0,0,0,3.13,3.13
20-06-2016,46.38,54.21,0,2.82,3.02,2.94,2.74,2.747
21-06-2016,36.09,46.39,0,2.98,3.13,3,2.79,2.768
22-06-2016,34.58,36.44,0,3.01,3.07,2.94,2.82,2.677
23-06-2016,0,34.17,0,3.02,2.99,2.86,2.69,2.698
24-06-2016,0,0,0,2.75,2.82,2.66,2.71,2.662
25-06-2016,31.25,33.77,0,0,0,0,3.13,3.13
26-06-2016,0,0,0,0,0,0,3.13,3.13
27-06-2016,42.45,44.77,0,2.75,2.85,2.66,2.79,2.716
28-06-2016,45.97,45.97,0,3.07,3.11,2.94,2.89,2.917
29-06-2016,0,0,0,3.16,3.21,3.04,2.94,2.863
30-06-2016,39.96,40.08,0,3.26,3.28,3.11,2.94,2.924
01-07-2016,0,0,0,3.26,2.92,2.81,2.89,2.987
02-07-2016,0,36.45,0,0,0,0,3.13,3.13
03-07-2016,0,0,0,0,0,0,3.13,3.13
04-07-2016,0,0,0,0,0,0,2.89,3.13
05-07-2016,0,37.5,0,3.05,2.68,2.72,2.82,2.764
06-07-2016,0,30.9,0,2.97,2.62,2.56,2.82,2.786
07-07-2016,0,30.07,0,2.66,2.46,2.45,2.78,2.777
08-07-2016,0,0,0,2.69,2.59,2.58,2.8,2.801
09-07-2016,29.42,29.57,0,0,0,0,3.13,3.13
10-07-2016,0,0,0,0,0,0,3.13,3.13
11-07-2016,0,31.75,0,2.69,2.63,2.6,2.88,2.702
12-07-2016,0,33.07,0,2.94,2.76,2.77,2.88,2.734
13-07-2016,35.63,37.09,0,2.91,2.74,2.69,2.81,2.737
14-07-2016,36,39.25,0,2.99,2.85,2.74,2.79,2.727
15-07-2016,0,0,0,2.99,2.77,2.73,2.7,2.756
16-07-2016,0,33.96,0,0,0,0,3.13,3.13
17-07-2016,0,0,0,0,0,0,3.13,3.13
18-07-2016,0,36.5,0,2.86,2.56,2.54,2.83,2.722
19-07-2016,33.75,35.44,0,3.03,2.91,2.81,2.83,2.728
20-07-2016,34.16,36.86,37.82,3.04,2.91,2.83,2.76,2.658
21-07-2016,36.52,44.08,52.15,3,3.02,2.84,2.76,2.692
22-07-2016,0,0,0,3.02,3.05,2.97,2.8,2.777
23-07-2016,0,45.84,59.04,0,0,0,3.13,3.13
24-07-2016,0,0,0,0,0,0,3.13,3.13
25-07-2016,51,50.52,49.49,3.14,3.65,3.52,2.8,2.747
26-07-2016,43.01,44.99,45.92,3.13,3.08,2.99,2.84,2.712
27-07-2016,47.16,48.58,55.32,3.1,3.17,3.04,2.84,2.672
28-07-2016,0,0,0,3.15,3.41,3.4,2.79,2.873
29-07-2016,61.4,62.44,70.93,0,0,0,2.97,2.876
30-07-2016,36,39.52,36.86,0,0,0,3.13,3.13
31-07-2016,0,0,0,3.12,3.2,3.12,3.13,3.13
01-08-2016,0,38.55,31.84,3.26,3.02,3,2.97,2.771
02-08-2016,38.09,38.74,32.03,3.19,2.92,2.9,2.79,2.733
03-08-2016,38.98,39.01,31.93,3.15,2.86,2.82,2.89,2.839
04-08-2016,39.72,39.34,32.77,3.18,2.79,2.77,2.89,2.834
05-08-2016,0,0,0,3.21,2.88,2.9,2.88,2.772
06-08-2016,34.52,34.7,32.14,0,0,0,3.13,3.13
07-08-2016,0,0,0,0,0,0,3.13,3.13
08-08-2016,38.04,38.71,40.84,3.19,2.74,2.75,2.85,2.748
09-08-2016,0,37.94,35.34,3.16,2.91,2.91,2.85,2.615
10-08-2016,0,37.06,31.1,3.16,2.77,2.76,2.76,2.561
11-08-2016,0,36.77,31.49,3.12,2.74,2.71,2.7,2.551
12-08-2016,0,0,0,3.09,2.7,2.67,2.7,2.586
13-08-2016,0,38.09,36.09,0,0,0,3.13,3.13
14-08-2016,0,0,0,0,0,0,3.13,3.13
15-08-2016,49.1,52.05,55.71,3.14,3.01,2.99,2.75,2.59
16-08-2016,0,50.01,62.48,3.2,3.55,3.56,2.75,2.617
17-08-2016,0,46.35,55.53,3.16,3.4,3.12,2.76,2.619
18-08-2016,42.55,45.06,45.63,3.15,3.07,2.9,2.75,2.674
19-08-2016,0,0,0,3.18,2.79,2.73,2.67,2.584
20-08-2016,39.58,39.33,37.39,0,0,0,3.13,3.13
21-08-2016,0,0,0,0,0,0,3.13,3.13
22-08-2016,37.5,37.05,33.76,3.12,2.63,2.57,2.75,2.679
23-08-2016,0,36.14,33.67,3.16,2.93,2.91,2.75,2.761
24-08-2016,0,35.25,32.9,3.2,2.77,2.77,2.82,2.796
25-08-2016,37.69,36.07,32.83,3.25,2.78,2.77,2.89,2.846
26-08-2016,0,0,0,3.3,2.8,2.77,2.91,2.871
27-08-2016,0,32.67,29.82,0,0,0,3.13,3.13
28-08-2016,0,0,0,0,0,0,3.13,3.13
29-08-2016,37.77,38.1,33.07,3.28,2.69,2.7,2.97,2.853
30-08-2016,38.21,39.59,32.26,3.37,3.09,2.99,2.95,2.827
31-08-2016,38.94,39.42,32.51,3.43,3.08,2.99,2.95,2.887
01-09-2016,0,0,0,3.37,2.98,2.84,2.95,2.792
02-09-2016,35.5,35.71,28.57,3.36,2.89,2.81,2.88,2.792
03-09-2016,30.75,28.46,25.45,0,0,0,3.13,3.13
04-09-2016,0,0,0,0,0,0,3.13,3.13
05-09-2016,0,0,0,0,0,0,2.88,3.13
06-09-2016,35.71,33.26,25.68,3.22,2.65,2.61,2.88,2.717
07-09-2016,38.77,36.31,25.2,3.27,2.9,2.72,2.77,2.676
08-09-2016,37.01,33.41,22.93,3.24,2.78,2.68,2.88,2.806
09-09-2016,0,0,0,3.27,2.77,2.69,2.93,2.797
10-09-2016,35.74,32.77,26.62,0,0,0,3.13,3.13
11-09-2016,0,0,0,0,0,0,3.13,3.13
12-09-2016,35.5,32.17,24.89,3.25,2.72,2.7,3.04,2.915
13-09-2016,35.29,31.3,24.22,3.33,2.88,2.84,3.04,2.909
14-09-2016,35.31,33.16,25.39,3.42,2.92,2.89,3.07,2.889
15-09-2016,36,34.01,26.58,3.42,2.95,2.94,2.98,2.927
16-09-2016,0,0,0,3.34,2.87,2.82,2.97,2.948
17-09-2016,34.83,32.36,25.34,0,0,0,3.13,3.13
18-09-2016,0,0,0,0,0,0,3.13,3.13
19-09-2016,0,39.25,29.25,3.31,2.78,2.74,3,2.934
20-09-2016,39.91,38.28,26.65,3.42,3.03,2.94,3.12,3.047
21-09-2016,39.74,38.56,27.01,3.51,3.05,2.95,3.19,3.057
22-09-2016,37.05,33.15,26.35,3.56,3.09,3.03,3.18,2.99
23-09-2016,0,0,0,3.55,3.04,3.04,3.06,2.955
24-09-2016,35,32.57,25.12,0,0,0,3.13,3.13
25-09-2016,0,0,0,0,0,0,3.13,3.13
26-09-2016,45.46,46.56,35.23,3.46,3.05,2.98,3.06,2.997
27-09-2016,46.2,46.24,29.64,3.55,3.24,3.05,3.09,2.996
28-09-2016,0,39.35,27.29,3.46,3.08,2.95,3.07,2.952
29-09-2016,0,0,0,3.41,2.99,2.84,2.98,2.959
30-09-2016,36.61,36,24.87,3.36,2.92,2.77,2.84,2.906
01-10-2016,33.48,30.27,24,0,0,0,3.13,3.13
02-10-2016,0,0,0,0,0,0,3.13,3.13
03-10-2016,34.48,31.19,23.21,2.68,1.39,2.59,2.84,2.923
04-10-2016,34.17,32.73,23.5,2.71,2.86,2.7,2.83,2.964
05-10-2016,34.5,32.09,23.19,2.68,2.86,2.69,2.83,3.041
06-10-2016,35.02,34.04,22.46,3.29,2.9,2.72,3.04,3.049
07-10-2016,0,0,0,3.42,1.2,2.87,3.02,3.193
08-10-2016,36.18,36.74,25.03,0,0,0,3.13,3.13
09-10-2016,0,0,0,0,0,0,3.13,3.13
10-10-2016,0,40.72,30.82,3.36,1.39,2.79,3.18,3.13
11-10-2016,37,36.46,29.7,3.48,3.2,2.97,3.17,3.237
12-10-2016,35.25,33.7,28.01,3.45,3.05,1.26,3.17,3.21
13-10-2016,0,32.98,27.04,3.37,3.03,2.85,3.16,3.341
14-10-2016,0,0,0,3.27,2.97,2.78,3.18,3.285
15-10-2016,33.64,28.73,23.36,0,0,0,3.13,3.13
16-10-2016,0,0,0,0,0,0,3.13,3.13
17-10-2016,0,32.18,24.8,3.27,2.74,2.72,3.21,3.244
18-10-2016,0,36.03,28.1,3.36,3.05,2.84,3.25,3.263
19-10-2016,37.75,38.14,30.54,3.37,3.14,2.95,3.18,3.17
20-10-2016,42.53,43.49,33.48,3.25,3.27,3.03,3.12,3.141
21-10-2016,0,0,0,3.24,3.18,2.98,2.92,2.993
22-10-2016,0,38.36,27.45,0,0,0,3.13,3.13
23-10-2016,0,0,0,0,0,0,3.13,3.13
24-10-2016,35.47,33.99,26.48,3.11,2.88,2.71,2.78,2.831
25-10-2016,0,33.25,25.41,3.13,2.88,2.7,2.69,2.774
26-10-2016,37.5,34.47,26.48,3.08,2.82,2.6,2.69,2.731
27-10-2016,39,36.88,29.38,3.07,2.84,2.63,2.72,2.764
28-10-2016,0,0,0,3.14,2.85,2.67,2.72,3.105
29-10-2016,36.02,35.31,25.27,0,0,0,3.13,3.13
30-10-2016,0,0,0,0,0,0,3.13,3.13
31-10-2016,0,32.29,23.24,3.05,2.64,2.54,2.85,3.026
01-11-2016,33.75,30.76,23.41,3.03,2.77,2.58,3.13,2.902
02-11-2016,0,29.91,23.35,2.61,2.37,2.25,2.53,2.792
03-11-2016,0,28.39,22.22,2.58,2.19,1.96,2.41,2.769
04-11-2016,0,0,0,2.54,2.35,2.13,2.2,2.767
05-11-2016,0,27.4,19.66,0,0,0,3.13,3.13
06-11-2016,0,0,0,0,0,0,3.13,3.13
07-11-2016,31,29.91,19.77,2.43,2.18,1.94,2.37,2.816
08-11-2016,32.5,32.8,22.17,2.59,2.46,2.25,2.34,2.633
09-11-2016,0,0,0,2.62,2.42,2.19,2.22,2.69
10-11-2016,0,35.23,19.68,2.54,2.35,2.12,2.08,2.632
11-11-2016,0,0,0,2.42,2.14,1.98,2.08,3.13
12-11-2016,0,31.03,19.44,0,0,0,3.13,3.13
13-11-2016,0,0,0,0,0,0,3.13,3.13
14-11-2016,0,29.15,20.29,2.25,1.98,1.82,2.26,2.749
15-11-2016,0,32.2,17.75,2.82,2.43,2.21,2.49,2.709
16-11-2016,0,28.44,17.32,2.94,2.51,2.3,2.49,2.764
17-11-2016,34.5,34.34,17.19,2.94,2.68,2.47,2.37,2.703
18-11-2016,0,0,0,2.78,2.52,2.33,2.6,2.843
19-11-2016,0,30.9,17.15,0,0,0,3.13,3.13
20-11-2016,0,0,0,0,0,0,3.13,3.13
21-11-2016,0,29.53,18.43,2.83,2.6,2.35,2.81,2.95
22-11-2016,0,0,0,3.28,2.98,2.79,2.73,2.982
23-11-2016,0,32.61,19.1,3.25,2.97,2.76,2.76,3.026
24-11-2016,0,0,0,0,0,0,2.76,3.13
25-11-2016,0,0,18.38,0,0,0,2.76,3.13
26-11-2016,0,0,0,0,0,0,3.13,3.13
27-11-2016,0,0,0,0,0,0,3.13,3.13
28-11-2016,0,0,18.34,3.18,2.82,2.63,2.96,3.232
29-11-2016,0,37.04,22.08,3.58,3.41,3.21,3.02,3.315
30-11-2016,0,35.72,24.75,3.61,3.31,3.14,3.32,3.352
01-12-2016,40.5,38.25,26.58,3.6,3.5,3.32,3.32,3.505
02-12-2016,0,0,0,3.69,3.6,3.39,3.44,3.436
03-12-2016,0,32.3,26.45,0,0,0,3.13,3.13
04-12-2016,0,0,0,0,0,0,3.13,3.13
05-12-2016,0,35.67,30.89,3.63,3.41,3.31,3.44,3.654
06-12-2016,43.06,33.85,30.11,3.8,3.85,3.62,3.75,3.635
07-12-2016,44.33,39.46,32.16,3.84,3.81,3.81,3.8,3.603
08-12-2016,43.18,40.54,33.7,3.79,3.84,3.74,3.68,3.695
09-12-2016,0,0,0,3.69,3.7,3.6,3.75,3.746
10-12-2016,37.5,35.21,28.65,0,0,0,3.13,3.13
11-12-2016,0,0,0,0,0,0,3.13,3.13
12-12-2016,0,41.1,30.34,3.83,3.73,3.68,3.6,3.507
13-12-2016,42.75,41.74,32.77,3.68,3.74,3.56,3.65,3.474
14-12-2016,45.53,45.13,29.43,3.71,3.75,3.55,3.55,3.54
15-12-2016,0,40.18,28.78,3.65,3.66,3.49,3.56,3.13
16-12-2016,0,0,0,3.68,3.71,3.54,3.51,3.415
17-12-2016,0,38.83,29.8,0,0,0,3.13,3.13
18-12-2016,0,0,0,0,0,0,3.13,3.13
19-12-2016,0,39.54,28.55,3.68,3.92,3.82,3.55,3.392
20-12-2016,38.25,36.24,28.35,3.71,3.84,3.68,3.39,3.263
21-12-2016,0,0,0,3.6,3.55,3.37,3.5,3.542
22-12-2016,0,35.02,27.58,3.73,3.54,3.38,3.5,3.538
23-12-2016,0,0,0,3.76,3.61,3.46,3.6,3.662
24-12-2016,0,32.61,25.5,0,0,0,3.13,3.13
25-12-2016,0,0,0,0,0,0,3.13,3.13
26-12-2016,0,0,0,0,0,0,3.6,3.13
27-12-2016,0,36,26.23,3.85,3.74,3.56,3.7,3.761
28-12-2016,0,0,25.86,3.87,3.75,3.59,3.7,3.93
29-12-2016,0,36.75,25.53,3.87,3.67,3.56,3.71,3.802
30-12-2016,0,0,0,0,0,0,3.71,3.724
31-12-2016,0,34.16,23.63,3.98,3.65,3.58,3.13,3.13
01-01-2017,0,0,0,0,0,0,3.13,3.13
02-01-2017,0,0,0,0,0,0,3.71,3.13
03-01-2017,0,47.58,33.39,4.04,4.06,3.77,3.41,3.327
04-01-2017,41,37.93,27.14,3.66,3.76,3.44,3.42,3.267
05-01-2017,42.9,38.1,0,3.57,3.61,3.44,3.42,3.273
06-01-2017,0,0,0,3.46,3.47,3.31,3.38,3.285
07-01-2017,36.03,34.38,0,0,0,0,3.13,3.13
08-01-2017,0,0,0,0,0,0,3.13,3.13
09-01-2017,35.92,32.83,0,3.48,3.34,3.17,3.14,3.103
10-01-2017,36.82,35.02,0,3.35,3.29,3.04,3.21,3.278
11-01-2017,0,36.98,0,3.45,3.37,3.2,3.27,3.224
12-01-2017,0,0,0,3.53,3.5,3.27,3.36,3.386
13-01-2017,40.4,38.78,0,3.62,3.67,3.43,3.36,3.419
14-01-2017,34.75,32.5,0,0,0,0,3.13,3.13
15-01-2017,0,0,0,0,0,0,3.13,3.13
16-01-2017,0,0,0,0,0,0,3.36,3.13
17-01-2017,37.5,35.43,0,3.66,3.62,3.39,3.37,3.412
18-01-2017,36.13,35.06,0,3.66,3.62,3.35,3.26,3.302
19-01-2017,35.25,34.67,0,3.61,3.6,3.27,3.25,3.368
20-01-2017,0,0,0,3.55,3.55,3.2,3.23,3.204
21-01-2017,35,32.68,0,0,0,0,3.13,3.13
22-01-2017,0,0,0,0,0,0,3.13,3.13
23-01-2017,0,36.42,0,3.56,3.46,3.15,3.16,3.243
24-01-2017,38.5,37.74,0,3.54,3.66,3.28,3.16,3.279
25-01-2017,39,37.62,0,3.63,3.76,3.44,3.26,3.332
26-01-2017,0,38.75,0,3.66,3.66,3.44,3.44,3.382
27-01-2017,0,0,0,3.76,3.69,3.46,3.31,3.391
28-01-2017,0,34.06,0,0,0,0,3.13,3.13
29-01-2017,0,0,0,0,0,0,3.13,3.13
30-01-2017,0,34.38,0,3.62,3.37,3.21,3.22,3.232
31-01-2017,35.25,32.44,0,3.55,3.49,3.12,3,3.117
01-02-2017,35.1,33.13,0,3.45,3.3,2.99,3.15,3.168
02-02-2017,37.42,33.93,0,3.5,3.31,3.02,3.13,3.187
03-02-2017,0,0,0,3.43,3.23,2.93,3.13,3.063
04-02-2017,0,29.88,0,0,0,0,3.13,3.13
05-02-2017,0,0,0,0,0,0,3.13,3.13
06-02-2017,34,31.75,0,3.36,3.01,2.84,2.92,3.05
07-02-2017,33.66,30.19,0,3.32,3,2.76,3.03,3.13
08-02-2017,0,34.06,0,3.45,3.18,2.93,3.05,3.126
09-02-2017,34.67,31.78,0,3.39,3.06,2.85,3.11,3.141
10-02-2017,0,0,0,3.47,3.22,2.93,3.11,3.034
11-02-2017,0,28.85,0,0,0,0,3.13,3.13
12-02-2017,0,0,0,0,0,0,3.13,3.13
13-02-2017,0,31.45,0,3.32,2.92,2.75,2.93,2.944
14-02-2017,35.75,33.03,0,3.31,3.1,2.8,2.85,2.905
15-02-2017,0,29.43,0,3.29,3.04,2.76,2.95,2.925
16-02-2017,0,0,0,3.3,3.05,2.77,2.88,2.854
17-02-2017,33.25,29.16,0,3.25,3.02,2.71,2.75,2.834
18-02-2017,0,26.48,0,0,0,0,3.13,3.13
19-02-2017,0,0,0,0,0,0,3.13,3.13
20-02-2017,0,0,0,0,0,0,2.75,3.13
21-02-2017,0,27.83,0,3.19,2.93,2.58,2.56,2.564
22-02-2017,0,23.24,0,3.14,2.83,2.53,2.52,2.592
23-02-2017,30.7,21.59,0,3.06,2.82,2.46,2.63,2.617
24-02-2017,0,0,0,3.11,2.87,2.51,2.63,2.627
25-02-2017,30.17,22.58,0,0,0,0,3.13,3.13
26-02-2017,0,0,0,0,0,0,3.13,3.13
27-02-2017,0,0,0,3.04,2.84,2.47,2.44,2.693
28-02-2017,0,22.09,0,2.97,2.9,2.41,2.54,2.774
01-03-2017,27.75,23.55,0,3.02,2.78,2.45,2.54,2.799
02-03-2017,0,22.95,0,3.07,2.83,2.52,2.59,2.804
03-03-2017,0,0,0,3.03,2.77,2.47,2.5,2.827
04-03-2017,0,18.5,0,0,0,0,3.13,3.13
05-03-2017,0,0,0,0,0,0,3.13,3.13
06-03-2017,25.57,18.68,0,3.05,2.74,2.46,2.68,2.901
07-03-2017,26,23.83,0,3.16,2.9,2.58,2.68,2.824
08-03-2017,0,23.55,0,3.06,2.81,2.47,2.59,2.901
09-03-2017,27,25.2,0,3.15,2.9,2.6,2.83,2.974
10-03-2017,0,0,0,3.16,2.91,2.7,2.98,3.008
11-03-2017,0,21.96,0,0,0,0,3.13,3.13
12-03-2017,0,0,0,0,0,0,3.13,3.13
13-03-2017,28.5,27.72,0,3.22,2.65,2.7,3.04,3.043
14-03-2017,32.13,31.24,0,3.22,3.1,2.82,3.02,2.938
15-03-2017,32.75,32.48,0,3.18,2.85,2.76,3.02,2.981
16-03-2017,0,28.07,0,3.15,2.93,2.64,2.84,2.902
17-03-2017,0,0,0,3.07,2.77,2.51,2.85,2.948
18-03-2017,23.5,21.5,0,0,0,0,3.13,3.13
19-03-2017,0,0,0,0,0,0,3.13,3.13
20-03-2017,0,29.04,0,3.06,2.77,2.51,2.93,3.041
21-03-2017,0,29.22,0,3.16,3.02,2.72,3.09,3.093
22-03-2017,0,30.05,0,3.26,3.09,2.76,3.02,3.011
23-03-2017,23.86,21.39,0,3.19,3.07,2.71,2.93,3.051
24-03-2017,0,0,0,3.18,3.01,2.69,2.97,3.076
25-03-2017,0,19.3,0,0,0,0,3.13,3.13
26-03-2017,0,0,0,0,0,0,3.13,3.13
27-03-2017,19.67,20.13,0,3.17,2.86,2.65,2.94,3.052
28-03-2017,23.3,22.39,0,3.22,3.01,2.69,2.95,3.096
29-03-2017,0,21.68,0,3.15,2.93,2.65,3.03,3.175
30-03-2017,0,0,0,3.2,3.01,2.73,3.08,3.191
31-03-2017,15.4,14.7,0,3.21,3,2.72,3.13,3.19
01-04-2017,0,14.04,0,0,0,0,3.13,3.13
02-04-2017,0,0,0,0,0,0,3.13,3.13
03-04-2017,23,21.82,0,3.21,3.09,2.7,3.13,3.128
04-04-2017,0,25.76,0,3.23,3.16,2.84,3.06,3.293
05-04-2017,0,26.67,0,3.29,3.2,2.86,3.22,3.266
06-04-2017,0,27.49,0,3.39,3.32,2.99,3.23,3.331
07-04-2017,0,0,0,3.37,3.26,2.93,3.23,3.261
08-04-2017,0,21.25,21.25,0,0,0,3.13,3.13
09-04-2017,0,0,0,0,0,0,3.13,3.13
10-04-2017,27.75,27.46,27.46,3.37,3.2,2.86,3.15,3.238
11-04-2017,0,29.19,29.19,3.35,3.23,2.88,3.11,3.15
12-04-2017,0,0,0,3.31,3.2,2.85,2.97,3.187
13-04-2017,0,28.63,28.63,3.32,3.25,2.84,3,3.227
14-04-2017,0,0,0,0,0,0,3,3.13
15-04-2017,22,24.1,24.1,0,0,0,3.13,3.13
16-04-2017,0,0,0,0,0,0,3.13,3.13
17-04-2017,0,28.57,28.57,3.34,3.16,2.82,3.09,3.163
18-04-2017,0,31.12,31.12,3.35,3.18,2.83,3.11,3.145
19-04-2017,27.46,28.78,28.78,3.36,3.15,2.83,3.11,3.185
20-04-2017,0,26.07,26.07,3.35,3.2,2.87,3.13,3.159
21-04-2017,0,0,0,3.33,3.18,2.85,3.06,3.101
22-04-2017,28.25,35.02,35.02,0,0,0,3.13,3.13
23-04-2017,0,0,0,0,0,0,3.13,3.13
24-04-2017,29.88,33.44,33.44,3.32,3.06,2.74,3.06,3.066
25-04-2017,0,26.06,26.06,3.24,3.07,2.75,2.99,3.043
26-04-2017,26.5,27.39,27.39,3.21,3.05,2.7,3.06,3.142
27-04-2017,0,0,0,3.27,3.1,2.74,3.13,3.239
28-04-2017,0,23.35,23.35,0,0,0,3.2,3.276
29-04-2017,0,22.72,22.72,0,0,0,3.13,3.13
30-04-2017,0,0,0,3.28,3.1,2.77,3.13,3.13
01-05-2017,32.75,32.34,32.34,3.36,3.17,2.81,3.2,3.215
02-05-2017,36.42,35.27,35.27,3.33,3.16,2.82,3.13,3.195
03-05-2017,46.45,42.36,42.36,3.29,3.11,2.76,3.14,3.228
04-05-2017,43.68,41.62,41.62,3.27,3.17,2.83,3.11,3.186
05-05-2017,0,0,0,3.31,3.19,2.85,3.1,3.266
06-05-2017,0,24.82,24.82,0,0,0,3.13,3.13
07-05-2017,0,0,0,0,0,0,3.13,3.13
08-05-2017,32.45,30.03,30.03,3.31,3.13,2.8,3.06,3.172
09-05-2017,35.33,34.17,34.17,3.27,3.11,2.76,3.03,3.227
10-05-2017,0,30.89,30.89,3.32,3.13,2.78,3.03,3.292
11-05-2017,31.67,33.55,33.55,3.42,3.23,2.89,3.23,3.376
12-05-2017,0,0,0,3.48,3.29,2.95,3.24,3.424
13-05-2017,24.25,22.73,22.73,0,0,0,3.13,3.13
14-05-2017,0,0,0,0,0,0,3.13,3.13
15-05-2017,26.05,25.22,25.22,3.51,3.28,2.94,3.26,3.349
16-05-2017,0,22.61,22.61,3.5,3.32,2.97,3.27,3.23
17-05-2017,0,24.18,24.18,3.41,3.23,2.86,3.27,3.192
