"Planning Area Description","Year","Ag & Water Pump","Commercial Building","Commercial Other","Industry","Mining & Construction","Residential","Streetlight","Total Usage"
"San Diego Gas and Electric","2011","     377.612966","    9075.097144","    1793.043051","    1483.424533","     163.390973","    7471.536002","     105.899927","   20470.004596"
"San Diego Gas and Electric","2012","     390.147046","    9304.786686","    1869.662704","    1492.848659","     174.913500","    7718.652524","     101.391610","   21052.402729"
"San Diego Gas and Electric","2013","     357.508583","    9356.032868","    1888.691718","    1441.854740","     167.935858","    7590.865953","      93.086583","   20895.976303"
"San Diego Gas and Electric","2014","     349.491769","    9803.756060","    1892.352850","    1457.579679","     164.909877","    7670.432037","      94.079058","   21432.601330"
"San Diego Gas and Electric","2015","     315.339573","    9829.640835","    1935.047426","    1508.297819","     160.603385","    7681.819785","      89.641335","   21520.390158"
"San Diego Gas and Electric","2016","     309.696105","    9595.217609","    1835.554028","    1374.940406","     387.763892","    7553.422236","      81.197494","   21137.791770"
"Southern California Edison","2010","    5288.557912","   36938.039157","    4962.249476","   16925.711264","    3126.172603","   30892.741226","     528.178279","   98661.649917"
"Southern California Edison","2011","    4323.077419","   37004.003012","    5210.156919","   17194.998997","    3170.242434","   31527.508426","     528.596780","   98958.583987"
"Southern California Edison","2012","    4735.777977","   38190.588162","    5290.640843","   17371.683624","    3002.483548","   32898.136671","     529.046155","  102018.356980"
"Southern California Edison","2013","    5406.221490","   38042.130891","    5397.525674","   17280.878718","    3159.497116","   32304.676672","     528.847196","  102119.777757"
"Southern California Edison","2014","    6095.439981","   39043.071936","    5353.903932","   17422.936556","    3294.219372","   32832.128457","     530.375193","  104572.075427"
"Southern California Edison","2015","    5811.300854","   38682.620165","    5199.657524","   17635.951310","    3322.760709","   33434.236593","     586.806138","  104673.333293"
"Southern California Edison","2016","    5336.347027","   37789.880796","    5129.006913","   17867.998975","    3212.853796","   33477.380204","     584.648340","  103398.116051"
"Valley Electric Association","2010","       8.038000","       0.000000","       0.000000","       0.000000","       0.000000","       0.119000","       0.000000","       8.157000"
"Valley Electric Association","2011","       8.371000","       0.000000","       0.000000","       0.000000","       0.000000","       0.122000","       0.000000","       8.493000"
"Valley Electric Association","2012","       9.171000","       0.000000","       0.000000","       0.000000","       0.000000","       0.112000","       0.000000","       9.283000"
"Valley Electric Association","2013","       9.920000","       0.000000","       0.000000","       0.000000","       0.000000","       0.115000","       0.000000","      10.035000"
"Valley Electric Association","2014","      10.447000","       0.000000","       0.000000","       0.000000","       0.000000","       0.116000","       0.000000","      10.563000"
"Valley Electric Association","2015","       9.137958","       0.003640","       0.003006","       0.000000","       0.000000","       0.100406","       0.000000","       9.245010"
"Valley Electric Association","2016","      10.020537","       0.000004","       0.002247","       0.000000","       0.000000","       0.111006","       0.000000","      10.133794"
