California Energy Production Estimates 2015
https://www.eia.gov/state/?sid=CA#tabs-3
20:15:56 GMT-0800 (Pacific Standard Time)
Source: Energy Information Administration, State Energy Data System
Category,California Energy Production Estimates Trillion Btu
Coal,0
Natural Gas - Marketed,265.2
Crude Oil,1150.7
Nuclear Electric Power,193.5
Biofuels,27.8
Other Renewable Energy,715.6 
