California Net Electricity Generation by Source Jul. 2017
https://www.eia.gov/state/?sid=CA#tabs-4
20:16:01 GMT-0800 (Pacific Standard Time)
Source: Energy Information Administration, Electric Power Monthly
Category,California Net Electricity Generation thousand MWh
Petroleum-Fired,3
Natural Gas-Fired,9653
Coal-Fired,23
Nuclear,1648
Hydroelectric,4372
Nonhydroelectric Renewables,5009 
