California Price Differences from U.S. Average Most Recent Monthly
https://www.eia.gov/state/?sid=CA#tabs-5
20:16:09 GMT-0800 (Pacific Standard Time)
Source: Energy Information Administration, <a href="/petroleum/marketing/monthly/">Petroleum Marketing Monthly</a>; <a href="/naturalgas/monthly/">Natural Gas Monthly</a>;<br/><a href="/electricity/monthly/">Electric Power Monthly</a>
Category,California U.S. Price Differentials Percent
Natural Gas - Citygate,-25.05
Natural Gas - Residential,-29.24
Electricity - Residential,43.67
Electricity - Commercial,60.82
Electricity - Industrial,97.41 
