"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"2015F","IL","WYICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","IN","CLOSB","147438","119267","139541","124592","103401","91936","95445","106224","143404","145498","102589","116970","106467","110871","112728","114596","111635","112481","107392","106681","105101","100928","97836","104776","96046","100783","113217","118062","102292","96314","102534","131882","127641","127596","140983","123981","130724","134282","126040","111231","121469","83896","51026","56628","46919","39203"
"2015F","IN","CLRFB","0","0","0","0","0","0","0","0","0","0","0","83","0","0","248","239","158","131","64","35","41","9","6","59","30","31","55","60","17","0","7","11","9","41","41","36","14","34","56","24","0","0","0","0","0","0"
"2015F","IN","COICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","IN","DFISB","59057","60621","61408","61712","55502","54200","58659","58260","58917","44028","29208","33799","31086","24991","30746","27161","32802","36394","26075","32662","30812","30946","31684","27754","27275","27657","27120","29205","34167","32946","31773","36227","34878","38035","36520","40487","34081","35786","33541","27282","23090","28876","30257","26564","30747","31286"
"2015F","IN","DFRFB","245","151","233","64","70","111","64","111","204","181","227","144","39","100","73","70","138","81","83","32","18","37","40","55","63","79","64","60","53","38","29","51","44","26","24","36","28","30","25","28","9","0","47","46","23","35"
"2015F","IN","EMLCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4015","4225","4599","4593","4309","3594","4182","3704","4011","4432","4213","1711","2992","3489","3212","3829","4168","5640","6524","5843","5535","5502","15028","32337","38637","44214","51260","49964","49375","54182","59609"
"2015F","IN","ESISB","59417","63217","69010","77877","79516","90158","101822","107193","107928","111787","103551","101169","93138","101112","91173","105854","102730","109532","111229","115621","118855","118945","124455","130961","135565","139010","143725","144724","149016","157052","159751","139729","157583","157081","162342","162185","163783","165338","159970","141685","153495","157436","158444","158400","162399","158860"
"2015F","IN","ESRFB","1836","867","1123","983","911","856","887","1140","1215","1331","1300","3244","3581","2772","2354","2593","2872","3060","2984","2935","3100","3160","3285","3524","3518","3533","3684","3868","4007","4097","4162","3847","4423","4251","4602","4813","5212","5219","5209","5219","5340","5569","5904","4719","5091","5019"
"2015F","IN","GECCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95","111","143","160","213","213","213","230","251","344","389","456","487","517","555","640","722","924","816","816","816","816"
"2015F","IN","GEICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","IN","GERCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","453","502","544","587","624","576","615","651","696","721","816","816","890","970","1261","1370","1568","1819","2201","2625","3272","3687","3575","3831","3831","3831","3831"
"2015F","IN","HYCCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","IN","HYICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","IN","LGISB","5325","5297","6371","8132","11428","15269","22380","28979","22026","16661","13720","11304","11415","9361","6531","7061","10270","8673","9210","10872","18004","18093","9969","11126","8770","7805","8595","4948","3261","4978","8471","6265","8540","8612","9343","7852","8401","8772","4140","6806","5025","4739","5293","6058","4755","3098"
"2015F","IN","LGRFB","112","115","185","299","382","656","495","585","741","692","560","178","328","171","165","195","271","234","237","621","896","539","233","271","366","231","230","129","162","145","139","109","152","245","171","107","82","130","117","267","202","96","89","143","727","879"
"2015F","IN","LOTCB","313332","330305","355525","385822","398522","426584","459915","487964","494141","501976","495205","483793","475523","495722","463106","498923","492883","510683","541477","574153","570904","592688","587806","634505","642173","669929","694247","690323","710725","746974","753831","745915","752511","765388","791194","852769","842571","884736","883773","823380","868847","854808","839831","870933","873259","835064"
"2015F","IN","NGISB","262966","276005","284669","282476","267997","217587","193103","174038","190640","234834","233562","238051","217640","200905","214462","205324","178663","194929","213644","215036","221906","219620","237323","253693","260309","265401","278975","280353","278803","303115","290391","243680","247705","257265","250382","253086","251236","260396","255244","228830","271398","306629","323565","345268","365302","365704"
"2015F","IN","NGLPB","0","0","0","0","0","0","0","0","0","1","7","51","10","4","12","11","10","7","12","10","13","5","5","6","2","5","8","12","14","18","23","27","51","41","75","99","110","103","163","214","287","438","512","513","356","393"
"2015F","IN","NGPZB","11221","12440","13299","12669","12480","9507","4995","4715","4816","9756","8803","8567","8858","5547","6104","4862","5912","5974","9399","8593","8583","4683","4779","6847","6960","7676","12552","10891","7452","7405","5758","7147","5264","7249","6902","6718","6421","7198","7151","6697","8787","10384","7294","7535","7410","7236"
"2015F","IN","NGRFB","7102","8149","8154","4396","2522","3509","1588","1754","1615","6988","8460","12339","10412","8058","8462","7482","6258","8281","8428","8460","10379","11401","10938","13013","13167","13244","13073","12913","13376","14193","15671","13144","13111","13905","14790","15691","17085","18310","20481","19867","21509","23912","25311","16555","17104","15506"
"2015F","IN","P5RFB","60943","51943","53343","56548","56090","56808","53256","54911","54267","50802","50570","31015","30053","37768","36449","31629","35203","38931","45958","46656","47398","42433","52768","44247","47656","44432","52575","51989","44865","46089","43084","51768","49757","53268","51742","54739","55546","53469","48085","48434","53078","48015","32879","53074","48812","50100"
"2015F","IN","PCISB","5620","9083","10371","9084","7368","8210","7389","10192","8539","6136","5200","11083","8769","4579","6957","7536","6179","10997","12253","10435","10524","10141","14683","10868","13142","12433","13099","9121","19091","26231","16099","27499","24218","22795","35847","33221","39223","34718","37311","40060","20684","13641","16166","10084","11240","17887"
"2015F","IN","PCRFB","14367","11807","12108","15753","16325","17229","13885","13434","12168","9458","11506","12088","10528","12173","12723","12219","13326","13131","13541","13425","14113","13864","15232","14620","14064","13969","14661","14364","14474","15419","15203","14529","14744","14684","14029","14970","14167","13405","12777","13187","14875","15173","15103","14466","13366","14240"
"2015F","IN","RFISB","16431","41851","41264","45354","48967","45320","69361","72339","67394","69561","55501","36253","21068","7568","4198","10508","15274","14141","11789","11559","16033","11079","14907","10362","10640","4992","3032","3319","1061","525","1700","955","504","1697","3227","3395","5586","1898","2233","768","462","237","495","277","279","410"
"2015F","IN","RFRFB","36326","22413","34874","36880","37012","28159","28750","30247","23224","23947","19842","9613","7635","3999","3520","10543","9973","5995","5408","5217","6414","7324","9254","5441","6566","4858","3391","3440","3581","1447","1215","1510","574","265","120","88","218","79","68","44","22","5","6","13","19","13"
"2015F","IN","SFCCB","","","","","","","","","","","231","733","556","647","653","445","395","626","690","579","466","471","539","500","368","508","504","542","455","1178","1401","1346","768","1019","825","750","724","541","484","513","447","383","331","347","390","334"
"2015F","IN","SFINB","","","","","","","","","","","807","2596","1737","2055","2012","1348","1117","1944","2105","1731","1583","1570","1819","1687","1311","1690","1664","1924","1789","4986","4626","4301","2415","2904","2556","2598","2687","1952","1552","1597","1706","1644","1713","1497","1611","1605"
"2015F","IN","SFRCB","","","","","","","","","","","540","1637","1238","1437","1377","934","854","1342","1478","1227","975","1010","1131","1050","765","988","1036","1122","873","2424","2498","2527","1462","1838","1445","1463","1300","1021","870","911","816","665","574","606","671","573"
"2015F","IN","SOCCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","26","32","34","57","61"
"2015F","IN","SOICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","IN","SORCB","","","","","","","","","","","","","","","","","","","","12","13","13","16","20","24","25","32","32","33","34","33","35","38","37","63","78","91","100","102","128","133","140","149","163","175","197"
"2015F","IN","TEPFB","449447","444165","487695","518773","529330","547102","574241","608724","613254","632945","626049","592221","579471","601698","565330","605954","606070","629548","674109","697167","686782","701855","708274","741534","753728","776352","810421","800761","812273","847541","849610","853376","855364","875565","900059","969426","950117","1002694","1017890","962762","1021611","1016947","982591","1026786","1030977","995463"
"2015F","IN","TERFB","106564","83639","97912","99169","96987","90099","85041","88747","81266","83940","80959","56614","52048","52869","51272","52751","54874","56713","63162","63954","68245","64903","76525","66610","71366","66407","73072","72459","66060","66010","64307","70440","68070","72002","71490","75510","78185","77271","74041","73883","80161","77597","64236","74550","71786","71551"
"2015F","IN","TETCB","2219865","2236310","2436007","2474655","2432314","2378215","2410904","2486593","2536343","2586227","2400599","2359623","2177836","2198089","2271233","2301534","2262840","2380921","2484610","2517335","2492407","2474929","2460380","2567909","2552598","2618508","2702857","2681874","2671799","2785908","2867539","2771320","2856342","2937255","2929679","2955170","2892667","2958240","2917643","2714041","2863281","2846975","2769412","2894816","2930287","2846367"
"2015F","IN","TNSCB","1770418","1792145","1948310","1955885","1902985","1831111","1836661","1877869","1923087","1953285","1776127","1772365","1601895","1600531","1709943","1698307","1659136","1755284","1814776","1823703","1808649","1776127","1755595","1829613","1801313","1845344","1895639","1884700","1862641","1946954","2026456","1926116","2005623","2067452","2034444","1990556","1947261","1959060","1902658","1754298","1844640","1832720","1789440","1870481","1901982","1853419"
"2015F","IN","WDRSB","2059","1899","1940","1756","1862","2043","2343","2683","3495","4292","4482","4700","4822","5219","4527","4663","4248","4495","4797","4849","5066","5311","5572","2899","2751","2751","2857","1904","1692","1736","1870","2557","2596","2733","2801","4027","3572","3948","4418","3829","3343","3419","3191","4407","4486","3342"
"2015F","IN","WDRXB","9276","8558","8741","7911","8389","9206","10557","12092","15751","19341","20196","21178","21732","23519","20400","21014","19142","20254","21615","21853","10965","11495","12060","6274","5956","5956","6185","4121","3662","3759","4048","5536","5619","5915","6063","8717","7731","8545","9562","8288","7236","7401","6907","9539","9710","7234"
"2015F","IN","WWCSB","39","36","37","33","35","39","44","51","67","81","111","113","109","118","102","111","125","153","169","1706","2139","1941","2153","1943","2136","3022","2811","2513","2599","3394","3050","2975","3699","3582","3729","3631","3689","1242","4582","4244","4560","3912","4461","3882","3532","4159"
"2015F","IN","WWCXB","174","161","165","150","159","175","199","230","300","367","501","509","492","533","458","499","562","689","760","6807","6799","6394","6851","6988","6661","5500","5834","5965","5577","4504","4835","2522","1753","2030","1815","2414","2244","1530","2247","2037","1753","1682","975","1129","1160","1267"
"2015F","IN","WWISB","2868","2927","3893","4216","4132","3725","4372","4838","5484","5673","5547","5855","5664","6398","6527","6500","4888","4867","5063","2157","4756","4704","4419","4346","3348","3525","4096","3514","1272","1340","1153","1585","3837","3812","4312","4119","3890","4316","4223","4498","4568","1765","1837","1792","2117","2292"
"2015F","IN","WWIXB","8879","9061","12052","13053","12793","11532","13534","14977","16979","17564","20379","21509","20808","23503","23978","23877","28462","30628","33091","17021","17164","16947","15940","15648","15483","15915","15986","13111","14327","14596","11916","16467","15196","14773","14856","15561","4957","5465","5333","5584","5764","8699","8033","8360","8223","8196"
"2015F","IN","WYCCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","12","11","8","11","9"
"2015F","IN","WYICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","KS","CLOSB","2188","1725","1948","2777","2948","2749","1892","3580","2226","4616","7139","7586","7974","6138","6639","7794","5580","5463","4558","4070","3799","3626","3873","3230","3286","3336","3913","3356","2714","2686","3240","3862","4276","3842","5040","5013","5680","5765","4007","2474","2652","2504","1999","2032","2948","2765"
"2015F","KS","CLRFB","0","0","0","0","0","0","0","0","0","0","0","5","0","0","15","16","8","6","3","1","1","0","0","2","1","1","2","2","0","0","0","0","0","1","1","1","1","1","2","1","0","0","0","0","0","0"
"2015F","KS","COICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","KS","DFISB","14646","16624","19198","22163","22185","20566","27659","27487","30958","41539","20242","20519","22889","19886","24465","23575","27935","27496","27265","26605","26458","26579","26238","29768","28487","27961","28014","30596","28177","28041","26036","28486","25975","28768","31408","28695","31877","28325","31653","26660","29360","26308","25756","25401","27960","26839"
"2015F","KS","DFRFB","6","6","6","6","6","6","6","6","6","6","6","87","29","80","58","60","117","61","87","26","15","32","33","59","66","79","67","63","44","33","24","40","33","20","21","25","26","24","23","28","12","0","40","35","17","29"
"2015F","KS","EMLCB","0","0","0","0","0","0","0","0","0","0","0","183","609","1140","1355","1447","1523","1657","1655","1553","1295","1507","1335","1914","2057","1927","772","1331","1530","1389","1634","1756","3763","5857","6559","7679","10023","13115","24692","22598","24872","24272","22830","23850","28016","26798"
"2015F","KS","ESISB","13377","14173","14470","15638","15900","18958","19872","20992","22663","23867","24027","24741","22580","22515","23408","23870","23659","24119","25612","25946","26892","27533","28092","28914","29936","31131","30707","31121","32436","33966","33992","35096","33837","34490","36097","36997","37903","36004","36240","33195","35119","35615","36319","33773","35379","34513"
"2015F","KS","ESRFB","2143","1730","2201","2289","2279","2245","2266","2423","2648","2672","2740","793","868","617","604","585","661","674","687","659","701","731","741","778","777","791","787","832","872","886","886","966","950","933","1023","1098","1206","1137","1180","1223","1222","1260","1353","3791","3839","3794"
"2015F","KS","GECCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","23","41","59","77","98","114","148","166","220","220","220","240","262","359","406","476","508","540","580","668","754","426","672","672","672","672"
"2015F","KS","GEICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","KS","GERCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","20","22","24","25","23","25","26","28","29","33","33","37","40","52","56","65","75","91","108","135","152","579","302","302","302","302"
"2015F","KS","HYCCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","KS","HYICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","KS","LGISB","6453","6485","7075","8296","9625","10137","13381","13943","10971","23165","20044","18681","33990","33061","87857","78290","52804","50973","60462","58526","47668","40202","53899","23816","21896","10888","28021","40430","37650","61412","49842","30884","27748","48694","42378","537","233","52671","1281","1589","1221","1938","1580","1658","997","773"
"2015F","KS","LGRFB","964","678","1153","919","815","1254","1227","1239","1879","1591","1188","294","977","605","2217","2165","1394","1374","1556","3343","2371","1197","1261","580","914","322","750","1052","1866","1790","820","537","493","1385","774","7","2","779","36","62","49","39","27","112","0","674"
"2015F","KS","LOTCB","114434","118660","125552","133322","137665","143417","147615","154484","169283","167252","179016","177653","176096","181184","180787","183928","182442","184493","195125","203398","230919","242135","229397","242363","247635","251094","262771","273910","279897","280029","296743","290651","296705","297074","304828","318132","320886","324756","320270","311976","329482","329486","324824","313658","315846","310273"
"2015F","KS","NGISB","129917","140256","143446","137642","128658","93684","109288","116387","116511","170602","137303","145301","112354","91370","111515","113165","93952","112196","100790","94335","109765","116394","121534","127820","174977","120215","101782","108646","103592","91077","102298","87815","102330","99589","95610","92312","104488","119617","107833","99522","101299","106193","107351","98071","99073","95620"
"2015F","KS","NGLPB","20799","27916","28161","32164","34716","26711","30445","28598","29914","47775","24375","19521","41671","38139","39850","42453","38333","46685","45267","43250","40878","45068","43173","55929","44548","47426","49041","46952","33775","30782","30230","22628","29668","20823","15250","20118","21633","15950","15676","17635","15863","15332","19714","19644","16500","16690"
"2015F","KS","NGPZB","73223","74550","80028","71817","73255","67967","61814","55267","61961","52638","52011","47283","42553","32242","36008","38106","31989","32344","41846","42921","40564","33243","28823","32932","31694","34737","38141","39197","32695","31599","29553","25722","36437","33759","28990","29163","25535","25214","24434","27000","24773","23696","20284","22990","24813","21630"
"2015F","KS","NGRFB","33405","33982","33833","33323","33156","28404","27553","26878","24431","27500","28004","8542","7368","5195","5972","5670","4634","6749","5762","5413","7046","8382","7591","9425","11104","8365","7068","7166","6590","5706","7151","5956","6985","6507","6547","6968","8573","9529","9904","10162","9276","9463","9924","20798","22394","19342"
"2015F","KS","P5RFB","35115","33498","37333","44466","42236","45108","43123","45574","43414","43612","43026","30273","23118","27727","27958","23642","28145","29937","36850","37653","37807","30911","34038","28020","31259","29940","32071","31737","27230","28719","26712","33230","31407","33819","33050","35581","36626","35822","34339","34525","38022","38798","40015","36948","34660","35406"
"2015F","KS","PCISB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","KS","PCRFB","5904","6295","8494","14126","10030","12921","13283","14187","12048","12379","13102","11981","9316","10088","9856","9431","10527","10268","10450","10468","10577","10127","10571","8796","8462","8404","7115","6971","7139","7866","7756","7412","7455","7425","7252","8101","7890","7519","7239","7470","7991","8151","8581","7243","7387","7815"
"2015F","KS","RFISB","451","3","4050","5717","3001","4894","3871","6974","8006","6636","2408","3356","3367","6586","3654","207","1763","1445","2969","1312","813","444","602","1232","672","58","394","517","264","374","1471","771","507","3394","4041","2039","3747","2802","7440","2643","2164","1684","1552","1098","1121","1517"
"2015F","KS","RFRFB","3955","2955","5771","4596","5438","8802","9016","8349","9286","9550","3904","890","1220","3480","3063","208","1151","613","1362","592","325","294","374","647","415","57","440","536","892","1030","1051","1220","577","530","151","53","147","117","228","151","105","37","18","6","13","13"
"2015F","KS","SFCCB","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","KS","SFINB","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","KS","SFRCB","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","KS","SOCCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","9","14","15","19"
"2015F","KS","SOICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","KS","SORCB","","","","","","","","","","","","","","","","","","","","35","36","36","37","37","37","37","37","36","34","32","29","25","22","18","15","17","21","24","23","24","25","26","30","40","41","51"
"2015F","KS","TEPFB","286341","296367","317250","326278","332912","327280","326843","326829","347143","357186","341782","292270","302565","297889","307166","307850","306220","319807","346623","351809","370549","372307","355644","380707","378282","382613","399779","409161","391687","388395","400928","389160","413300","407215","403821","424994","428540","430685","435408","430169","448225","447576","443862","446894","451255","438937"
"2015F","KS","TERFB","75587","72849","80298","85598","83930","85819","83190","84468","81664","84930","78868","40883","33581","37703","39888","32347","36111","39414","46306","47686","48267","41547","44040","39511","44535","39556","41184","41387","37494","38163","36644","41950","40445","43196","41567","43734","46580","47408","45712","46152","48686","49597","51377","61689","60922","59257"
"2015F","KS","TETCB","874412","908399","961348","966538","959918","925231","972888","981586","1037533","1132776","1022744","947908","946138","918421","1019959","1014562","975862","1017138","1071478","1044605","1066455","1060999","1047973","1075938","1101340","1065551","1095761","1085452","1073792","1093062","1100099","1048832","1084359","1124992","1105557","1049651","1077746","1159118","1114597","1088707","1117598","1104786","1075378","1104794","1136368","1082631"
"2015F","KS","TNSCB","588071","612032","644098","640260","627005","597952","646046","654756","690389","775590","680961","655639","643575","620534","712793","706711","669643","697331","724853","692797","695908","688692","692327","695231","723056","682937","695982","676291","682106","704666","699173","659672","671059","717778","701735","624658","649205","728434","679189","658539","669373","657209","631516","657900","685114","643695"
"2015F","KS","WDRSB","265","265","262","265","282","308","345","376","376","413","1454","1307","1562","1451","1800","1854","1689","1432","1528","1545","2006","2103","2207","1851","1757","1757","1825","1424","1265","1299","1399","1375","1395","1469","1506","1254","1112","1229","1375","1427","1246","1274","1189","1642","1672","1245"
"2015F","KS","WDRXB","1335","1335","1320","1335","1421","1550","1737","1895","1895","2081","7330","6587","7876","7315","9074","9347","8514","7218","7703","7788","4343","4553","4777","4007","3804","3804","3950","3082","2739","2811","3027","2976","3021","3180","3259","2714","2407","2660","2977","3089","2697","2758","2574","3554","3618","2696"
"2015F","KS","WWCSB","5","5","5","5","5","6","7","7","7","8","36","31","35","33","40","44","50","49","54","125","219","229","241","249","239","241","250","238","208","219","234","242","248","258","252","201","187","198","209","202","199","192","168","194","200","218"
"2015F","KS","WWCXB","25","25","25","25","27","29","33","36","36","39","182","158","178","166","204","222","250","245","271","631","475","496","523","539","517","521","542","515","450","473","506","524","536","558","546","436","404","429","453","436","431","415","363","421","432","472"
"2015F","KS","WWISB","1092","1204","2176","2352","2213","2083","2342","2426","2787","2879","0","0","0","0","0","0","895","891","927","395","978","959","906","884","639","653","727","595","188","192","159","204","516","502","503","528","115","122","118","110","119","1758","1569","1809","1769","1916"
"2015F","KS","WWIXB","937","1032","1866","2017","1898","1787","2009","2081","2391","2470","0","0","0","0","0","0","7058","7751","8451","4524","3730","3659","3457","3372","3335","3370","3166","2557","2824","2863","2309","2652","2401","2338","2346","2461","467","498","482","457","489","986","882","59","78","78"
"2015F","KS","WYCCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","KS","WYICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","KY","CLOSB","61968","51235","50225","47340","49762","38518","39299","36882","39867","45797","51776","49156","47056","42427","53552","62672","55280","47588","44335","55789","55481","50898","41030","59375","49353","55899","57425","46781","34370","27326","28910","35387","30310","31685","34923","31607","34497","34291","32364","26325","30391","34897","29067","27797","26605","26360"
"2015F","KY","CLRFB","817","286","0","0","0","0","0","0","0","0","0","35","0","0","118","131","78","55","26","18","22","5","3","34","15","17","28","24","6","0","2","3","2","10","10","9","4","9","14","6","0","0","0","0","0","0"
"2015F","KY","COICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","KY","DFISB","12103","13317","14065","15835","17320","19358","24310","36700","37351","33860","37470","31016","28609","24280","29871","33918","30450","34908","31924","32459","35246","30332","33430","30666","33845","35516","35399","33003","34216","28748","25788","31032","30524","25402","24149","26793","29060","27450","36008","35174","33942","38843","32696","31460","23988","19795"
"2015F","KY","DFRFB","0","0","0","0","0","133","2","12","0","0","0","132","36","97","71","87","128","78","102","31","20","36","42","61","78","101","84","68","53","34","23","44","39","18","16","24","24","23","27","37","14","0","51","23","12","23"
"2015F","KY","EMLCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1455","1392","1707","2011","1939","1946","2027","1968","1847","1924","1954","1891"
"2015F","KY","ESISB","69764","74738","90416","93591","90207","105214","119504","116205","99571","102890","95351","90465","80094","77455","95107","88467","81241","81185","87877","100401","108215","109479","123275","120677","133191","134728","139488","134920","127124","133190","125331","128428","145407","141422","142311","143527","145013","146743","152656","143485","148452","143745","145379","123496","107289","100147"
"2015F","KY","ESRFB","475","537","555","560","573","577","743","987","1179","1176","1141","2900","3080","2123","2456","2167","2271","2268","2357","2548","2823","2909","3254","3247","3456","3424","3575","3606","3418","3475","3265","3536","4081","3827","4034","4259","4615","4632","4971","5285","5164","5085","5417","2651","2859","3173"
"2015F","KY","GECCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95","111","143","160","213","213","213","240","262","359","406","476","508","540","580","668","754","965","852","852","852","852"
"2015F","KY","GEICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","KY","GERCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","214","237","256","276","294","271","290","307","328","339","384","384","432","471","612","665","761","883","1069","1275","1590","1790","1736","1860","1860","1860","1860"
"2015F","KY","HYCCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","KY","HYICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","KY","LGISB","20151","20460","23765","25874","26579","22933","23737","23625","26252","28620","27687","19947","17470","16372","13507","12333","10839","13734","14486","12539","13388","14234","13909","10369","10009","10063","12417","17856","16284","20585","23114","26816","29375","20909","24033","26029","25889","25675","23327","18711","21242","20193","23037","38663","25748","22170"
"2015F","KY","LGRFB","631","997","2091","1437","667","801","585","1249","774","531","592","313","502","300","341","341","286","370","373","716","666","424","325","253","418","298","332","464","807","600","380","467","522","595","439","355","253","380","660","735","854","409","389","80","408","556"
"2015F","KY","LOTCB","256193","274067","310130","325617","330152","385326","425887","435157","406988","410722","408090","398042","379901","378434","408924","395173","380398","383532","408537","460696","450884","475178","493062","501360","533985","551128","570999","563582","560042","594918","598929","601964","702106","663758","670737","689601","697671","739450","742933","706738","735093","694112","706471","671972","615554","584080"
"2015F","KY","NGISB","71835","70802","77271","75033","72077","63635","69627","53251","55523","71574","63128","62645","52839","51480","56857","53474","48147","54107","59880","63892","67821","71179","74330","75618","83847","94636","94582","95998","91895","97280","99814","93266","101325","100491","111565","108283","103881","104598","101315","88610","96454","98233","100469","103585","110033","108777"
"2015F","KY","NGLPB","2356","2250","1534","1261","1224","1228","1051","1119","1171","1226","998","1054","9908","8528","9237","9368","6576","3374","3051","2437","3275","2546","2975","3419","2946","2902","2546","2581","2405","2329","2595","2546","4123","2919","2755","3680","4298","3458","4661","5445","6594","6375","6947","6532","5213","4705"
"2015F","KY","NGPZB","36348","35803","37566","35330","29809","23728","20825","19339","23311","26061","21112","24186","19587","15053","17611","14743","20900","22190","21574","21414","25610","20923","16767","19931","24325","27415","27794","24003","16291","17170","14385","15467","12434","14810","10500","8491","6700","12206","13416","13016","14129","12795","8873","7333","9565","11642"
