"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"2015F","AK","SFCCB","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AK","SFINB","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AK","SFRCB","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AK","SOCCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AK","SOICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AK","SORCB","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","2","3","3","3","3","3","3","3"
"2015F","AK","TEPFB","46599","52725","56092","49195","49852","57048","59107","69259","74193","76324","95574","69468","161842","193242","210872","159374","171065","203712","247708","285619","281951","305004","320208","321875","325515","382145","393438","371441","384013","370073","388358","395248","408439","423182","400256","424969","378027","386477","360604","364162","360387","360012","365321","320847","320953","323392"
"2015F","AK","TERFB","6707","6817","9000","10110","9936","11189","12061","17827","24129","25405","28121","16965","29225","32809","31061","26455","33208","34526","39522","42264","45936","40487","46181","43674","43869","45300","58392","53931","56617","58666","60465","67960","69059","70030","64928","69666","67642","68233","59449","57253","61744","63348","59836","25034","21775","16566"
"2015F","AK","TETCB","182043","200968","214384","196970","201495","232186","254674","293532","324057","299782","295757","279672","409072","437637","482898","474439","504260","499218","521404","576194","584083","602660","627237","623702","623159","704170","718796","708823","723309","725402","742138","735820","732973","733500","775038","797700","746316","723069","650420","639694","653206","653605","649296","616782","603746","619891"
"2015F","AK","TNSCB","135445","148243","158291","147776","151644","175138","195566","224273","249863","223458","200184","210205","247230","244395","272025","315065","333194","295507","273696","290575","302133","297656","307030","301828","297645","322025","325358","337381","339297","355330","353780","340571","324536","310318","374780","372732","368287","349766","315820","301277","321552","323162","314244","295937","282792","296498"
"2015F","AK","WDRSB","403","392","370","338","333","440","483","564","617","854","296","365","332","405","567","584","532","732","782","790","641","672","705","820","778","778","808","660","587","602","648","1058","1074","1130","1158","387","344","380","425","903","789","807","753","1040","1058","789"
"2015F","AK","WDRXB","887","864","816","745","734","970","1065","1242","1361","1881","652","804","731","893","1249","1286","1172","1614","1723","1741","881","924","969","1127","1070","1070","1111","908","807","828","892","1455","1477","1554","1593","533","472","522","584","1242","1085","1109","1035","1430","1456","1084"
"2015F","AK","WWCSB","8","7","7","6","6","8","9","11","12","16","7","9","8","9","13","14","16","25","27","64","70","73","77","110","106","107","111","151","96","101","108","186","191","225","206","75","75","62","65","128","126","121","106","574","673","708"
"2015F","AK","WWCXB","17","16","15","14","14","18","20","24","26","36","16","19","17","20","28","31","34","55","61","143","96","101","106","152","145","147","152","152","133","139","149","256","262","273","269","85","79","84","89","175","173","167","146","169","174","190"
